Referencia	Título	Autor	Ilustrador	Edición	Editorial	Lugar de publicación	Año de publicación	ISBN	Formato	Encuadernación	Peso	Edición	Tirada	Firmado	Descripción	Estado del libro	Estado de la cubierta	Precio	Tipo de artículo	Cantidad	Catálogo	Palabras clave	Categoría de AbeBooks	URL imagen
465	Costa más lejana, La	Le Guin, Úrsula K			Minotauro		1987								<p>1. Barcelona, 21x12, 236pgs., cartoné edit. con sobrecubierta. Volumen tercero y último de la serie "Los libros de Terramar</p>	<no especfificado>		5	Libro	1				
677	Abraham Lincoln				Rueda		1991			guaflex editorial					<p>2. Barcelona, 24x17, 155pgs., guaflex</p>	Aceptable		4	Libro	1				
1787	Anuario jurídico escurialense				Ediciones escurialenses	Madrid	1959			Rústica					<p>4. 2 tomos, Número extraordinario en el IV centenario de la terminación del monasterio de San Lorenzo el real de El Escorial, 814 y 763pgs. por tomo</p>	Aceptable		20	Libro	1				
974	Anuario residencia de estudiantes "Fernando de los Ríos" 1995-1996				Universidad Carlos III de Madrid y B.O.E		1977			Rústica					<p>5. Madrid, 24x16, 565pgs., rústica</p>	<no especfificado>		8	Libro	1				
342	Boletín informativo de la coop. industrial de producción y dist. de electricidad				C.I. de P.y D. de E.E		1956								<p>8. Año 1-num.1,hasta el año 2-num.18, 23x17, holandesa con puntas</p>	<no especfificado>		12	Libro	1				
830	Coloquios médicos de actualidad				LYE		1958								10. Barcelona, 22x16, 14 capítulos de 30pgs. aprox. cada uno, holandesa	<no especfificado>		9	Libro	1				
873	Comunidad Valenciana, La				Al y Mar		1999								<p>11. Madrid, 30x21, 111pgs., con textos de Blasco Ibañez, fotografias en color</p>	<no especfificado>		4	Libro	1				
853	Novelas. 4 Tomos	Agustí, Ignacio			Ed. Fundación Jose Antonio Castro	Madrid	2008			Tela editorial					<p>15. 621, 644, 612 y 567 pgs. Respectivamente.  Edición de Sergi Doria. Contiene las siguientes obras: Mariona Rebull, El viudo Rius, Los Surcos, Desiderio, 19 de Julio y Guerra civil</p>	Bien		100	Libro	1				
791	Emetina, Sus diversas aplicaciones en la clínica				Laboratorios del norte de España		1931			Rústica					20. Barcelona, 23x16, 254pgs., rústica, primera edición	<no especfificado>		5	Libro	1				
929	Historia de Castilla y León				Ámbito		1985								23. Valladolid, 24x17, 135pgs., Nº 5 - Crisis y recuperación ( siglos XIV y XV )	<no especfificado>		4	Libro	1				
444	Historia de la cruzada española. Volumen 4º, tomo 16				Ediciones españolas		1941			Rústica					24. Madrid, 31x25, 372pgs., rústica, ilustraciones y fotografías, lomo deteriorado	<no especfificado>		12	Libro	1				
805	Lengua española y literatura, Antologia				Compañia bibliográfica española		1959			Rústica					30. Madrid, 21x15, 237pgs., rústica, con anotaciones del anterior propietario, fatigado	<no especfificado>		5	Libro	1				
633	Les Principes de la Perfection Chrétienne				Libraire Génerale Catholique et Classiqu		1893								31. Lyon, 15x10, 382pgs., piel, sello, lomo deslucido con letras y dorados borrados	<no especfificado>		9	Libro	1				
674	María Curie				Rueda		1991			guaflex editorial					<p>34. Barcelona, 24x17, 171pgs., guaflex</p>	Aceptable		4	Libro	1				
932	Marina nacional, La - Dos discursos				Editora nacional		1938			Rústica					36. Bilbao, 17x12, 47pgs., rústica	<no especfificado>		9	Libro	1				
